price,totalprice,product,quantity,region,discount,profit,CostPrice,Profit,costprice
729.44,2735.4,Phone,5,West,0.25,2735.15,1914.78,820.6200000000001,1914.78
59.49,249.86,Keyboard,6,South,0.3,249.56,174.902,74.95800000000003,174.902
1995.09,11312.16,Tablet,7,South,0.19,11311.97,7918.512,3393.648,7918.512
1268.22,9258.01,Phone,10,West,0.27,9257.74,6480.607,2777.4030000000002,6480.607
1584.08,7365.97,Phone,5,West,0.07,7365.900000000001,5156.179,2209.791,5156.179
329.78,949.77,Mouse,4,West,0.28,949.49,664.8389999999999,284.93100000000004,664.8389999999999
1058.36,7366.19,Laptop,8,West,0.13,7366.0599999999995,5156.333,2209.857,5156.333
1827.55,4605.43,Keyboard,3,North,0.16,4605.27,3223.801,1381.6290000000004,3223.801
1504.58,2286.96,Monitor,2,West,0.24,2286.7200000000003,1600.8719999999998,686.0880000000002,1600.8719999999998
1659.26,8130.37,Laptop,5,West,0.02,8130.349999999999,5691.259,2439.111,5691.259
857.13,2982.81,Keyboard,4,East,0.13,2982.68,2087.9669999999996,894.8430000000003,2087.9669999999996
680.34,2367.58,Phone,4,East,0.13,2367.45,1657.3059999999998,710.2740000000001,1657.3059999999998
1692.67,4316.31,Headphones,3,South,0.15,4316.160000000001,3021.417,1294.8930000000005,3021.417
1556.36,3112.72,Phone,2,North,0.0,3112.72,2178.9039999999995,933.8160000000003,2178.9039999999995
1305.31,9659.29,Monitor,10,South,0.26,9659.03,6761.503000000001,2897.7870000000003,6761.503000000001
1844.94,14021.54,Headphones,10,North,0.24,14021.300000000001,9815.078,4206.462000000001,9815.078
1790.66,8595.17,Laptop,6,South,0.2,8594.97,6016.619,2578.5510000000004,6016.619
1238.2,8915.04,Laptop,9,East,0.2,8914.84,6240.528,2674.5120000000006,6240.528
1712.43,2842.63,Mouse,2,South,0.17,2842.46,1989.841,852.7890000000002,1989.841
1551.39,9013.58,Monitor,7,East,0.17,9013.41,6309.505999999999,2704.0740000000005,6309.505999999999
1499.14,14391.74,Laptop,10,West,0.04,14391.699999999999,10074.217999999999,4317.522000000001,10074.217999999999
552.67,4366.09,Monitor,10,East,0.21,4365.88,3056.263,1309.8270000000002,3056.263
1318.49,8121.9,Tablet,8,South,0.23,8121.67,5685.329999999999,2436.5700000000006,5685.329999999999
1773.66,11333.69,Tablet,9,West,0.29,11333.4,7933.583,3400.107000000001,7933.583
587.96,3280.82,Monitor,6,West,0.07,3280.75,2296.574,984.2460000000001,2296.574
1637.95,8828.55,Mouse,7,South,0.23,8828.32,6179.984999999999,2648.5650000000005,6179.984999999999
623.06,2616.85,Monitor,5,East,0.16,2616.69,1831.7949999999998,785.0550000000001,1831.7949999999998
1685.01,3993.47,Tablet,3,North,0.21,3993.2599999999998,2795.4289999999996,1198.0410000000002,2795.4289999999996
260.4,385.39,Tablet,2,West,0.26,385.13,269.77299999999997,115.61700000000002,269.77299999999997
1859.53,1729.36,Mouse,1,South,0.07,1729.29,1210.552,518.808,1210.552
124.13,387.29,Laptop,4,South,0.22,387.07,271.103,116.18700000000001,271.103
844.99,3422.21,Mouse,5,North,0.19,3422.02,2395.547,1026.663,2395.547
665.97,2876.99,Tablet,6,West,0.28,2876.7099999999996,2013.8929999999998,863.097,2013.8929999999998
1612.79,7644.62,Mouse,6,North,0.21,7644.41,5351.2339999999995,2293.3860000000004,5351.2339999999995
99.07,686.56,Mouse,7,North,0.01,686.55,480.5919999999999,205.96800000000002,480.5919999999999
1759.73,8745.86,Keyboard,7,South,0.29,8745.57,6122.102,2623.7580000000007,6122.102
1911.09,16167.82,Laptop,9,East,0.06,16167.76,11317.473999999998,4850.346000000001,11317.473999999998
1039.11,7793.32,Tablet,10,South,0.25,7793.07,5455.324,2337.996,5455.324
1025.21,3239.66,Laptop,4,North,0.21,3239.45,2267.7619999999997,971.8980000000001,2267.7619999999997
1638.7,12617.99,Laptop,10,West,0.23,12617.76,8832.592999999999,3785.397000000001,8832.592999999999
219.26,1488.78,Tablet,7,West,0.03,1488.75,1042.146,446.634,1042.146
125.51,632.57,Mouse,6,East,0.16,632.4100000000001,442.79900000000004,189.77100000000002,442.79900000000004
1438.71,1280.45,Headphones,1,North,0.11,1280.3400000000001,896.3149999999999,384.1350000000001,896.3149999999999
1571.97,13518.94,Tablet,10,South,0.14,13518.800000000001,9463.258,4055.6820000000007,9463.258
453.43,1287.74,Laptop,4,West,0.29,1287.45,901.4179999999999,386.3220000000001,901.4179999999999
317.33,1846.86,Tablet,6,South,0.03,1846.83,1292.802,554.058,1292.802
579.21,3405.75,Keyboard,7,East,0.16,3405.59,2384.0249999999996,1021.7250000000004,2384.0249999999996
1874.06,1424.29,Laptop,1,North,0.24,1424.05,997.0029999999999,427.28700000000003,997.0029999999999
1911.96,14282.34,Phone,9,North,0.17,14282.17,9997.637999999999,4284.702000000001,9997.637999999999
419.73,377.76,Mouse,1,South,0.1,377.65999999999997,264.43199999999996,113.32800000000003,264.43199999999996
1941.57,6679.0,Headphones,4,South,0.14,6678.86,4675.299999999999,2003.7000000000007,4675.299999999999
315.35,1198.33,Headphones,5,West,0.24,1198.09,838.8309999999999,359.499,838.8309999999999
648.36,2230.36,Phone,4,West,0.14,2230.2200000000003,1561.252,669.1080000000002,1561.252
128.88,572.23,Headphones,6,West,0.26,571.97,400.561,171.66900000000004,400.561
1630.21,6390.42,Mouse,4,North,0.02,6390.4,4473.294,1917.1260000000002,4473.294
647.9,3809.65,Mouse,6,West,0.02,3809.63,2666.755,1142.895,2666.755
858.29,4583.27,Keyboard,6,East,0.11,4583.160000000001,3208.289,1374.9810000000002,3208.289
1975.32,17244.54,Laptop,9,North,0.03,17244.510000000002,12071.178,5173.362000000001,12071.178
326.81,2558.92,Monitor,9,West,0.13,2558.79,1791.244,767.6760000000002,1791.244
854.78,3897.8,Headphones,6,East,0.24,3897.5600000000004,2728.46,1169.3400000000001,2728.46
1198.61,6808.1,Tablet,8,West,0.29,6807.81,4765.67,2042.4300000000003,4765.67
420.9,1666.76,Laptop,4,South,0.01,1666.75,1166.732,500.028,1166.732
360.19,2017.06,Phone,7,West,0.2,2016.86,1411.9419999999998,605.1180000000002,1411.9419999999998
1424.29,4443.78,Phone,4,West,0.22,4443.5599999999995,3110.6459999999997,1333.134,3110.6459999999997
1766.72,6430.86,Tablet,4,North,0.09,6430.7699999999995,4501.602,1929.2579999999998,4501.602
1369.38,10407.29,Phone,10,North,0.24,10407.050000000001,7285.103,3122.187000000001,7285.103
158.51,665.74,Keyboard,5,West,0.16,665.58,466.018,199.72200000000004,466.018
1585.58,14127.52,Tablet,9,West,0.01,14127.51,9889.264,4238.256000000001,9889.264
1187.96,4930.03,Tablet,5,West,0.17,4929.86,3451.0209999999997,1479.009,3451.0209999999997
119.5,93.21,Monitor,1,South,0.22,92.99,65.24699999999999,27.963000000000008,65.24699999999999
841.37,715.16,Laptop,1,North,0.15,715.01,500.61199999999997,214.548,500.61199999999997
1971.2,8968.96,Phone,5,West,0.09,8968.869999999999,6278.271999999999,2690.688,6278.271999999999
188.36,1100.02,Keyboard,8,East,0.27,1099.75,770.0139999999999,330.0060000000001,770.0139999999999
552.45,2734.63,Tablet,5,South,0.01,2734.62,1914.241,820.3890000000001,1914.241
873.7,5871.26,Mouse,7,North,0.04,5871.22,4109.882,1761.3780000000006,4109.882
1524.82,10033.32,Mouse,7,West,0.06,10033.26,7023.324,3009.996,7023.324
1989.7,15917.6,Keyboard,10,South,0.2,15917.4,11142.32,4775.280000000001,11142.32
986.96,3474.1,Mouse,4,South,0.12,3473.98,2431.87,1042.23,2431.87
1408.63,9761.81,Mouse,7,North,0.01,9761.8,6833.266999999999,2928.5430000000006,6833.266999999999
711.59,2419.41,Headphones,4,North,0.15,2419.2599999999998,1693.5869999999998,725.8230000000001,1693.5869999999998
370.24,2125.18,Tablet,7,West,0.18,2125.0,1487.6259999999997,637.5540000000001,1487.6259999999997
660.56,1928.84,Phone,4,East,0.27,1928.57,1350.1879999999999,578.652,1350.1879999999999
1986.26,12394.26,Mouse,8,West,0.22,12394.04,8675.982,3718.2780000000002,8675.982
1091.72,7369.11,Monitor,9,East,0.25,7368.86,5158.3769999999995,2210.733,5158.3769999999995
1029.71,6919.65,Headphones,7,East,0.04,6919.61,4843.754999999999,2075.8950000000004,4843.754999999999
1579.92,7109.64,Mouse,5,North,0.1,7109.54,4976.748,2132.8920000000007,4976.748
990.19,1841.75,Tablet,2,South,0.07,1841.68,1289.225,552.5250000000001,1289.225
1089.5,2451.38,Keyboard,3,East,0.25,2451.13,1715.966,735.4140000000002,1715.966
236.51,1490.01,Headphones,9,South,0.3,1489.71,1043.0069999999998,447.00300000000016,1043.0069999999998
1624.7,5004.08,Laptop,4,North,0.23,5003.85,3502.8559999999998,1501.2240000000002,3502.8559999999998
1766.37,6623.89,Mouse,5,South,0.25,6623.64,4636.723,1987.1670000000004,4636.723
797.59,1212.34,Headphones,2,East,0.24,1212.1,848.6379999999999,363.702,848.6379999999999
1260.89,8372.31,Phone,8,West,0.17,8372.14,5860.616999999999,2511.693,5860.616999999999
1301.22,8640.1,Tablet,8,South,0.17,8639.93,6048.07,2592.0300000000007,6048.07
1894.43,4489.8,Keyboard,3,North,0.21,4489.59,3142.86,1346.94,3142.86
356.24,2636.18,Laptop,10,South,0.26,2635.9199999999996,1845.3259999999998,790.854,1845.3259999999998
171.29,693.72,Phone,5,East,0.19,693.53,485.604,208.11600000000004,485.604
468.36,2786.74,Laptop,7,South,0.15,2786.5899999999997,1950.7179999999996,836.0220000000002,1950.7179999999996
1464.71,8524.61,Monitor,6,West,0.03,8524.58,5967.227,2557.3830000000007,5967.227
69.62,68.23,Laptop,1,East,0.02,68.21000000000001,47.761,20.469,47.761
1917.21,2990.85,Keyboard,2,South,0.22,2990.63,2093.595,897.2550000000001,2093.595
1877.43,4900.09,Keyboard,3,West,0.13,4899.96,3430.063,1470.027,3430.063
723.38,3508.39,Phone,5,East,0.03,3508.3599999999997,2455.8729999999996,1052.5170000000003,2455.8729999999996
649.94,3594.17,Monitor,7,West,0.21,3593.96,2515.919,1078.2510000000002,2515.919
739.82,3987.63,Tablet,7,West,0.23,3987.4,2791.341,1196.2890000000002,2791.341
743.66,4893.28,Tablet,7,West,0.06,4893.219999999999,3425.296,1467.984,3425.296
909.42,818.48,Monitor,1,South,0.1,818.38,572.9359999999999,245.5440000000001,572.9359999999999
1131.75,9393.52,Mouse,10,West,0.17,9393.35,6575.464,2818.0560000000005,6575.464
1064.25,968.47,Keyboard,1,North,0.09,968.38,677.929,290.54100000000005,677.929
1735.61,11298.82,Tablet,7,North,0.07,11298.75,7909.173999999999,3389.6460000000006,7909.173999999999
600.66,4613.07,Monitor,8,West,0.04,4613.03,3229.1489999999994,1383.9210000000003,3229.1489999999994
879.14,3692.39,Monitor,5,North,0.16,3692.23,2584.673,1107.717,2584.673
1605.36,6983.32,Keyboard,5,East,0.13,6983.19,4888.324,2094.996,4888.324
1338.26,1150.9,Mouse,1,East,0.14,1150.76,805.63,345.2700000000001,805.63
535.11,1027.41,Monitor,2,East,0.04,1027.3700000000001,719.187,308.22300000000007,719.187
454.25,744.97,Mouse,2,North,0.18,744.7900000000001,521.479,223.49099999999999,521.479
1063.56,7944.79,Laptop,9,South,0.17,7944.62,5561.353,2383.437,5561.353
698.97,3180.31,Headphones,5,East,0.09,3180.22,2226.2169999999996,954.0930000000003,2226.2169999999996
209.24,1389.35,Mouse,8,East,0.17,1389.1799999999998,972.5449999999998,416.80500000000006,972.5449999999998
869.36,8519.73,Headphones,10,South,0.02,8519.71,5963.811,2555.919,5963.811
927.96,4621.24,Laptop,6,North,0.17,4621.07,3234.8679999999995,1386.3720000000003,3234.8679999999995
101.34,681.0,Mouse,7,North,0.04,680.96,476.7,204.3,476.7
390.88,1735.51,Monitor,6,East,0.26,1735.25,1214.857,520.653,1214.857
714.65,2515.57,Monitor,4,South,0.12,2515.4500000000003,1760.8990000000001,754.671,1760.8990000000001
218.49,1415.82,Phone,9,South,0.28,1415.54,991.0739999999998,424.7460000000001,991.0739999999998
1219.9,3330.33,Laptop,3,West,0.09,3330.24,2331.2309999999998,999.0990000000002,2331.2309999999998
1335.85,8883.4,Tablet,7,West,0.05,8883.35,6218.379999999999,2665.0200000000004,6218.379999999999
364.61,3281.49,Laptop,10,West,0.1,3281.39,2297.0429999999997,984.4470000000001,2297.0429999999997
455.4,1347.98,Monitor,4,West,0.26,1347.72,943.5859999999999,404.3940000000001,943.5859999999999
1245.0,2415.3,Monitor,2,South,0.03,2415.27,1690.71,724.5900000000001,1690.71
490.37,2618.58,Laptop,6,South,0.11,2618.47,1833.0059999999999,785.5740000000001,1833.0059999999999
1737.96,1268.71,Monitor,1,West,0.27,1268.44,888.097,380.61300000000006,888.097
1916.96,9488.95,Laptop,5,West,0.01,9488.94,6642.265,2846.6850000000004,6642.265
898.09,3304.97,Monitor,4,West,0.08,3304.89,2313.479,991.491,2313.479
159.01,1046.29,Phone,7,North,0.06,1046.23,732.4029999999999,313.88700000000006,732.4029999999999
1334.71,5338.84,Laptop,5,South,0.2,5338.64,3737.1879999999996,1601.6520000000005,3737.1879999999996
662.29,4980.42,Phone,8,South,0.06,4980.36,3486.294,1494.1260000000002,3486.294
217.65,1279.78,Tablet,7,North,0.16,1279.62,895.8459999999999,383.9340000000001,895.8459999999999
1951.49,9464.73,Mouse,5,South,0.03,9464.699999999999,6625.311,2839.419,6625.311
1005.53,6033.18,Phone,8,West,0.25,6032.93,4223.226,1809.9540000000006,4223.226
1181.38,5729.69,Tablet,5,West,0.03,5729.66,4010.7829999999994,1718.9070000000002,4010.7829999999994
487.33,2967.84,Laptop,7,South,0.13,2967.71,2077.488,890.3520000000003,2077.488
1111.87,8305.67,Mouse,9,South,0.17,8305.5,5813.969,2491.701,5813.969
1427.66,5782.02,Headphones,5,East,0.19,5781.830000000001,4047.414,1734.6060000000002,4047.414
1673.7,2979.19,Laptop,2,North,0.11,2979.08,2085.433,893.7570000000001,2085.433
1580.62,2971.57,Laptop,2,West,0.06,2971.51,2080.099,891.471,2080.099
1244.05,10860.56,Keyboard,9,South,0.03,10860.529999999999,7602.391999999999,3258.1680000000006,7602.391999999999
1581.1,2371.65,Tablet,2,West,0.25,2371.4,1660.155,711.4950000000001,1660.155
1460.37,2570.25,Tablet,2,West,0.12,2570.13,1799.175,771.075,1799.175
1955.8,13553.69,Monitor,9,North,0.23,13553.460000000001,9487.583,4066.107,9487.583
1811.29,15395.97,Mouse,10,North,0.15,15395.82,10777.178999999998,4618.791000000001,10777.178999999998
1131.21,3223.95,Keyboard,3,West,0.05,3223.8999999999996,2256.765,967.185,2256.765
649.86,3119.33,Monitor,5,North,0.04,3119.29,2183.531,935.799,2183.531
687.29,6597.98,Keyboard,10,East,0.04,6597.94,4618.585999999999,1979.3940000000002,4618.585999999999
1373.27,6921.28,Headphones,6,West,0.16,6921.12,4844.896,2076.384,4844.896
656.07,4618.73,Tablet,8,East,0.12,4618.61,3233.1109999999994,1385.6190000000001,3233.1109999999994
419.46,2982.36,Mouse,9,South,0.21,2982.15,2087.652,894.7080000000001,2087.652
839.61,764.05,Keyboard,1,North,0.09,763.9599999999999,534.8349999999999,229.21500000000003,534.8349999999999
267.62,1541.49,Headphones,8,West,0.28,1541.21,1079.043,462.4470000000001,1079.043
1381.35,13675.36,Phone,10,South,0.01,13675.35,9572.752,4102.608,9572.752
540.15,2333.45,Mouse,6,North,0.28,2333.1699999999996,1633.4149999999997,700.0350000000001,1633.4149999999997
1292.93,5882.83,Laptop,5,East,0.09,5882.74,4117.981,1764.8490000000002,4117.981
927.37,7094.38,Mouse,9,West,0.15,7094.2300000000005,4966.066,2128.3140000000003,4966.066
884.35,6455.76,Phone,10,North,0.27,6455.49,4519.032,1936.728,4519.032
1385.57,10862.87,Laptop,8,South,0.02,10862.85,7604.009,3258.861000000001,7604.009
634.69,4455.52,Headphones,9,East,0.22,4455.3,3118.864,1336.6560000000004,3118.864
964.98,8597.97,Keyboard,9,East,0.01,8597.96,6018.578999999999,2579.3910000000005,6018.578999999999
483.27,1072.86,Phone,3,North,0.26,1072.6,751.0019999999998,321.85800000000006,751.0019999999998
793.81,2024.22,Monitor,3,West,0.15,2024.07,1416.954,607.2660000000001,1416.954
1314.17,9225.47,Monitor,9,North,0.22,9225.25,6457.828999999999,2767.6410000000005,6457.828999999999
312.27,1661.28,Monitor,7,North,0.24,1661.04,1162.896,498.384,1162.896
1649.11,3562.08,Headphones,3,North,0.28,3561.7999999999997,2493.4559999999997,1068.6240000000003,2493.4559999999997
963.65,7555.02,Headphones,8,North,0.02,7555.0,5288.514,2266.5060000000003,5288.514
604.81,2600.68,Laptop,5,West,0.14,2600.54,1820.4759999999997,780.2040000000002,1820.4759999999997
1155.76,2635.13,Monitor,3,South,0.24,2634.8900000000003,1844.591,790.5390000000002,1844.591
1482.51,7264.3,Monitor,5,West,0.02,7264.28,5085.01,2179.29,5085.01
776.53,6755.81,Keyboard,10,North,0.13,6755.68,4729.067,2026.7430000000004,4729.067
1011.05,5399.01,Phone,6,North,0.11,5398.900000000001,3779.307,1619.7030000000004,3779.307
1996.01,3752.5,Mouse,2,North,0.06,3752.44,2626.75,1125.75,2626.75
514.84,4788.01,Mouse,10,East,0.07,4787.9400000000005,3351.607,1436.4030000000002,3351.607
1105.16,1005.7,Headphones,1,South,0.09,1005.61,703.99,301.71000000000004,703.99
1799.24,14753.77,Tablet,10,North,0.18,14753.59,10327.639,4426.131000000001,10327.639
1755.72,2563.35,Keyboard,2,West,0.27,2563.08,1794.3449999999998,769.0050000000001,1794.3449999999998
645.19,2787.22,Tablet,6,West,0.28,2786.9399999999996,1951.0539999999996,836.1660000000002,1951.0539999999996
1887.18,5963.49,Monitor,4,West,0.21,5963.28,4174.442999999999,1789.0470000000005,4174.442999999999
1202.57,1094.34,Headphones,1,South,0.09,1094.25,766.0379999999999,328.302,766.0379999999999
1623.24,11297.75,Mouse,8,East,0.13,11297.62,7908.424999999999,3389.3250000000007,7908.424999999999
448.66,3189.97,Phone,9,East,0.21,3189.7599999999998,2232.979,956.991,2232.979
266.72,821.5,Mouse,4,North,0.23,821.27,575.05,246.45000000000005,575.05
1738.34,10012.84,Headphones,8,West,0.28,10012.56,7008.987999999999,3003.8520000000008,7008.987999999999
1978.86,15850.67,Keyboard,9,North,0.11,15850.56,11095.469,4755.201000000001,11095.469
858.93,3092.15,Headphones,4,East,0.1,3092.05,2164.505,927.645,2164.505
1138.1,1001.53,Tablet,1,North,0.12,1001.41,701.0709999999999,300.45900000000006,701.0709999999999
341.78,1350.03,Mouse,5,East,0.21,1349.82,945.021,405.009,945.021
1682.38,4946.2,Monitor,3,East,0.02,4946.179999999999,3462.3399999999997,1483.8600000000001,3462.3399999999997
1323.53,11435.3,Laptop,9,West,0.04,11435.259999999998,8004.709999999999,3430.59,8004.709999999999
930.8,3648.74,Phone,4,West,0.02,3648.72,2554.1179999999995,1094.6220000000003,2554.1179999999995
924.29,3438.36,Tablet,4,North,0.07,3438.29,2406.852,1031.5080000000003,2406.852
320.04,748.89,Keyboard,3,North,0.22,748.67,524.223,224.66700000000003,524.223
690.12,979.97,Monitor,2,North,0.29,979.6800000000001,685.9789999999999,293.9910000000001,685.9789999999999
959.94,3494.18,Headphones,4,East,0.09,3494.0899999999997,2445.926,1048.254,2445.926
483.32,695.98,Mouse,2,North,0.28,695.7,487.186,208.79400000000004,487.186
1377.14,6362.39,Monitor,6,South,0.23,6362.160000000001,4453.673,1908.7170000000006,4453.673
1421.7,5971.14,Keyboard,6,West,0.3,5970.84,4179.798,1791.3420000000006,4179.798
315.29,1466.1,Phone,5,West,0.07,1466.03,1026.27,439.8299999999999,1026.27
1563.62,6004.3,Phone,4,South,0.04,6004.26,4203.01,1801.29,4203.01
588.88,476.99,Headphones,1,West,0.19,476.8,333.893,143.09700000000004,333.893
464.67,3345.62,Headphones,9,South,0.2,3345.42,2341.9339999999997,1003.6860000000001,2341.9339999999997
767.74,5527.73,Phone,9,East,0.2,5527.53,3869.4109999999996,1658.319,3869.4109999999996
1454.77,10241.58,Headphones,8,West,0.12,10241.46,7169.106,3072.474,7169.106
1033.31,5889.87,Phone,6,North,0.05,5889.82,4122.909,1766.9610000000002,4122.909
1340.31,1099.05,Laptop,1,East,0.18,1098.87,769.3349999999999,329.71500000000003,769.3349999999999
776.09,2281.7,Monitor,3,West,0.02,2281.68,1597.1899999999998,684.51,1597.1899999999998
1744.02,10882.68,Mouse,8,West,0.22,10882.460000000001,7617.875999999999,3264.804000000001,7617.875999999999
1087.67,9353.96,Phone,10,West,0.14,9353.82,6547.771999999999,2806.188,6547.771999999999
331.47,1226.44,Phone,5,East,0.26,1226.18,858.508,367.932,858.508
324.14,2683.88,Mouse,9,East,0.08,2683.8,1878.716,805.1640000000002,1878.716
1029.05,3828.07,Headphones,4,West,0.07,3828.0,2679.649,1148.4210000000003,2679.649
1236.64,6900.45,Mouse,6,East,0.07,6900.38,4830.315,2070.135,4830.315
1020.44,6367.55,Laptop,8,North,0.22,6367.33,4457.285,1910.2650000000003,4457.285
1955.1,1466.32,Monitor,1,North,0.25,1466.07,1026.424,439.89599999999996,1026.424
1184.63,8055.48,Tablet,8,East,0.15,8055.33,5638.835999999999,2416.6440000000002,5638.835999999999
240.3,1581.17,Phone,7,South,0.06,1581.1100000000001,1106.819,474.3510000000001,1106.819
1835.67,7342.68,Phone,5,South,0.2,7342.4800000000005,5139.876,2202.804,5139.876
732.17,1889.0,Tablet,3,East,0.14,1888.86,1322.3,566.7,1322.3
1146.18,5730.9,Monitor,5,North,0.0,5730.9,4011.6299999999997,1719.27,4011.6299999999997
789.27,3835.85,Mouse,6,South,0.19,3835.66,2685.095,1150.755,2685.095
1452.37,4996.15,Phone,4,West,0.14,4996.009999999999,3497.3049999999994,1498.8450000000003,3497.3049999999994
1783.96,4442.06,Mouse,3,South,0.17,4441.89,3109.442,1332.6180000000004,3109.442
1977.38,1502.81,Tablet,1,North,0.24,1502.57,1051.9669999999999,450.8430000000001,1051.9669999999999
1617.55,6065.81,Laptop,5,North,0.25,6065.56,4246.067,1819.7430000000004,4246.067
647.73,3011.94,Tablet,5,North,0.07,3011.87,2108.3579999999997,903.5820000000003,2108.3579999999997
630.15,1058.65,Keyboard,2,South,0.16,1058.49,741.0550000000001,317.595,741.0550000000001
1162.56,4603.74,Headphones,4,South,0.01,4603.73,3222.6179999999995,1381.1220000000003,3222.6179999999995
880.84,4228.03,Mouse,5,East,0.04,4227.99,2959.6209999999996,1268.409,2959.6209999999996
788.49,4352.46,Headphones,6,South,0.08,4352.38,3046.7219999999998,1305.7380000000003,3046.7219999999998
761.77,2742.37,Monitor,5,South,0.28,2742.0899999999997,1919.6589999999999,822.711,1919.6589999999999
761.96,3352.62,Tablet,5,North,0.12,3352.5,2346.834,1005.7860000000001,2346.834
533.37,3072.21,Mouse,8,West,0.28,3071.93,2150.547,921.663,2150.547
1148.81,3101.79,Mouse,3,North,0.1,3101.69,2171.2529999999997,930.5370000000003,2171.2529999999997
931.44,1434.42,Phone,2,South,0.23,1434.19,1004.0939999999999,430.32600000000014,1004.0939999999999
372.18,2352.18,Phone,8,South,0.21,2351.97,1646.5259999999998,705.654,1646.5259999999998
646.77,2587.08,Monitor,5,East,0.2,2586.88,1810.956,776.124,1810.956
1594.3,5548.16,Phone,4,West,0.13,5548.03,3883.7119999999995,1664.4480000000003,3883.7119999999995
692.48,1703.5,Headphones,3,West,0.18,1703.32,1192.4499999999998,511.0500000000002,1192.4499999999998
1633.16,16168.28,Mouse,10,North,0.01,16168.27,11317.796,4850.484,11317.796
780.94,3670.42,Tablet,5,South,0.06,3670.36,2569.294,1101.1260000000002,2569.294
704.33,3254.0,Tablet,6,East,0.23,3253.77,2277.7999999999997,976.2000000000003,2277.7999999999997
218.28,1314.05,Tablet,7,South,0.14,1313.9099999999999,919.8349999999999,394.21500000000003,919.8349999999999
1380.99,11047.92,Monitor,8,South,0.0,11047.92,7733.544,3314.376,7733.544
1474.45,4718.24,Headphones,4,West,0.2,4718.04,3302.7679999999996,1415.4720000000002,3302.7679999999996
1787.6,5201.92,Laptop,3,North,0.03,5201.89,3641.3439999999996,1560.5760000000005,3641.3439999999996
496.28,3091.82,Keyboard,7,East,0.11,3091.71,2164.274,927.5460000000003,2164.274
285.98,1578.61,Tablet,6,East,0.08,1578.53,1105.0269999999998,473.5830000000001,1105.0269999999998
1066.35,1898.1,Keyboard,2,West,0.11,1897.99,1328.6699999999998,569.4300000000001,1328.6699999999998
710.03,3479.15,Monitor,5,East,0.02,3479.13,2435.4049999999997,1043.7450000000003,2435.4049999999997
